0.0, -2990958.0, 501.0, -393.0, 2990958.0, 0.0, -5970.0, 22593.0, -501.0, 5970.0, 0.0, -3.0, 393.0, -22593.0, 3.0, 0.0
0.0, -2990958.0, 5970.0, -22593.0, 2990958.0, 0.0, -501.0, 393.0, -5970.0, 501.0, 0.0, 3.0, 22593.0, -393.0, -3.0, 0.0
0.0, -2576553.0, 465.0, -393.0, 2576553.0, 0.0, -5541.0, 15765.0, -465.0, 5541.0, 0.0, -2.0, 393.0, -15765.0, 2.0, 0.0
0.0, -2576553.0, 5541.0, -15765.0, 2576553.0, 0.0, -465.0, 393.0, -5541.0, 465.0, 0.0, 2.0, 15765.0, -393.0, -2.0, 0.0
0.0, -2193036.0, 429.0, -393.0, 2193036.0, 0.0, -5112.0, 9795.0, -429.0, 5112.0, 0.0, -1.0, 393.0, -9795.0, 1.0, 0.0
0.0, -2193036.0, 5112.0, -9795.0, 2193036.0, 0.0, -429.0, 393.0, -5112.0, 429.0, 0.0, 1.0, 9795.0, -393.0, -1.0, 0.0
0.0, -1840407.0, -44808.0, 393.0, 1840407.0, 0.0, 75.0, -4683.0, 44808.0, -75.0, 0.0, -114.0, -393.0, 4683.0, 114.0, 0.0
0.0, -1840407.0, -41661.0, 393.0, 1840407.0, 0.0, 39.0, -4683.0, 41661.0, -39.0, 0.0, -106.0, -393.0, 4683.0, 106.0, 0.0
0.0, -1840407.0, -38514.0, 393.0, 1840407.0, 0.0, 3.0, -4683.0, 38514.0, -3.0, 0.0, -98.0, -393.0, 4683.0, 98.0, 0.0
0.0, -1840407.0, -5970.0, 4683.0, 1840407.0, 0.0, 1680.0, -393.0, 5970.0, -1680.0, 0.0, 3.0, -4683.0, 393.0, -3.0, 0.0
0.0, -1840407.0, -5541.0, 4683.0, 1840407.0, 0.0, 1251.0, -393.0, 5541.0, -1251.0, 0.0, 2.0, -4683.0, 393.0, -2.0, 0.0
0.0, -1840407.0, -5112.0, 4683.0, 1840407.0, 0.0, 822.0, -393.0, 5112.0, -822.0, 0.0, 1.0, -4683.0, 393.0, -1.0, 0.0
0.0, -1840407.0, -4683.0, 4683.0, 1840407.0, 0.0, 393.0, -393.0, 4683.0, -393.0, 0.0, 0.0, -4683.0, 393.0, 0.0, 0.0
0.0, -1840407.0, -1680.0, 393.0, 1840407.0, 0.0, 5970.0, -4683.0, 1680.0, -5970.0, 0.0, -3.0, -393.0, 4683.0, 3.0, 0.0
0.0, -1840407.0, -1251.0, 393.0, 1840407.0, 0.0, 5541.0, -4683.0, 1251.0, -5541.0, 0.0, -2.0, -393.0, 4683.0, 2.0, 0.0
0.0, -1840407.0, -822.0, 393.0, 1840407.0, 0.0, 5112.0, -4683.0, 822.0, -5112.0, 0.0, -1.0, -393.0, 4683.0, 1.0, 0.0
0.0, -1840407.0, -393.0, 393.0, 1840407.0, 0.0, 4683.0, -4683.0, 393.0, -4683.0, 0.0, 0.0, -393.0, 4683.0, 0.0, 0.0
0.0, -1840407.0, -75.0, 4683.0, 1840407.0, 0.0, 44808.0, -393.0, 75.0, -44808.0, 0.0, 114.0, -4683.0, 393.0, -114.0, 0.0
0.0, -1840407.0, -39.0, 4683.0, 1840407.0, 0.0, 41661.0, -393.0, 39.0, -41661.0, 0.0, 106.0, -4683.0, 393.0, -106.0, 0.0
0.0, -1840407.0, -3.0, 4683.0, 1840407.0, 0.0, 38514.0, -393.0, 3.0, -38514.0, 0.0, 98.0, -4683.0, 393.0, -98.0, 0.0
0.0, -1840407.0, 393.0, -393.0, 1840407.0, 0.0, -4683.0, 4683.0, -393.0, 4683.0, 0.0, 0.0, 393.0, -4683.0, 0.0, 0.0
0.0, -1840407.0, 4683.0, -4683.0, 1840407.0, 0.0, -393.0, 393.0, -4683.0, 393.0, 0.0, 0.0, 4683.0, -393.0, 0.0, 0.0
0.0, -1166398.0, -25513.0, 327.0, 1166398.0, 0.0, 79.0, -3567.0, 25513.0, -79.0, 0.0, -78.0, -327.0, 3567.0, 78.0, 0.0
0.0, -1166398.0, -22894.0, 327.0, 1166398.0, 0.0, 46.0, -3567.0, 22894.0, -46.0, 0.0, -70.0, -327.0, 3567.0, 70.0, 0.0
0.0, -1166398.0, -20275.0, 327.0, 1166398.0, 0.0, 13.0, -3567.0, 20275.0, -13.0, 0.0, -62.0, -327.0, 3567.0, 62.0, 0.0
0.0, -1166398.0, -3458.0, 3567.0, 1166398.0, 0.0, 1298.0, -327.0, 3458.0, -1298.0, 0.0, 3.0, -3567.0, 327.0, -3.0, 0.0
0.0, -1166398.0, -3098.0, 3567.0, 1166398.0, 0.0, 938.0, -327.0, 3098.0, -938.0, 0.0, 2.0, -3567.0, 327.0, -2.0, 0.0
0.0, -1166398.0, -2738.0, 3567.0, 1166398.0, 0.0, 578.0, -327.0, 2738.0, -578.0, 0.0, 1.0, -3567.0, 327.0, -1.0, 0.0
0.0, -1166398.0, -2378.0, 3567.0, 1166398.0, 0.0, 218.0, -327.0, 2378.0, -218.0, 0.0, 0.0, -3567.0, 327.0, 0.0, 0.0
0.0, -1166398.0, -1298.0, 327.0, 1166398.0, 0.0, 3458.0, -3567.0, 1298.0, -3458.0, 0.0, -3.0, -327.0, 3567.0, 3.0, 0.0
0.0, -1166398.0, -938.0, 327.0, 1166398.0, 0.0, 3098.0, -3567.0, 938.0, -3098.0, 0.0, -2.0, -327.0, 3567.0, 2.0, 0.0
0.0, -1166398.0, -578.0, 327.0, 1166398.0, 0.0, 2738.0, -3567.0, 578.0, -2738.0, 0.0, -1.0, -327.0, 3567.0, 1.0, 0.0
0.0, -1166398.0, -218.0, 327.0, 1166398.0, 0.0, 2378.0, -3567.0, 218.0, -2378.0, 0.0, 0.0, -327.0, 3567.0, 0.0, 0.0
0.0, -1166398.0, -79.0, 3567.0, 1166398.0, 0.0, 25513.0, -327.0, 79.0, -25513.0, 0.0, 78.0, -3567.0, 327.0, -78.0, 0.0
